user_id,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
1,5,3,2,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2,11,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,3,4,1,7,3,2,0,0,0,0,0,0,0,0,0,0
4,8,0,0,9,0,0,0,0,7,6,5,5,0,0,0,0,0,0
5,0,0,8,0,0,9,0,0,0,0,0,0,6,5,5,5,0,0
6,2,10,0,0,9,0,8,7,0,0,0,0,0,0,0,0,5,3
7,10,0,0,8,0,0,0,0,7,6,4,5,0,0,0,0,0,0
8,0,0,10,0,0,8,0,0,0,0,0,0,7,7,5,4,0,0
9,2,9,0,0,7,0,6,6,0,0,0,0,0,0,0,0,6,3
10,10,0,0,9,0,0,0,0,6,6,4,5,0,0,0,0,0,0
11,0,0,10,0,0,8,0,0,0,0,0,0,6,7,5,5,0,0
12,2,10,0,0,9,0,8,5,0,0,0,0,0,0,0,0,5,4
13,9,0,0,7,0,0,0,0,7,5,6,5,0,0,0,0,0,0
